Date,Open,High,Low,Close,Adj Close,Volume,MA,Upper_Band1,Lower_Band1,Upper_Band2,Lower_Band2,Signal,Position,TPSLSignal,Returns,Cumulative_Returns,Open_Return
2019-03-11,2087.0400390625,2087.0400390625,1964.800048828125,1971.8399658203125,1971.8399658203125,416347,2044.4799743652343,2118.539866530084,1970.4200822003843,2192.5997586949343,1896.3601900355343,0,0,,-0.0,1.0610522574585162,-0.0414462030699454
2019-03-12,1952.0,1960.9599609375,1913.5999755859375,1916.1600341796875,1916.1600341796875,347006,2031.9359741210938,2105.3886024894005,1958.483345752787,2178.841230857707,1885.0307173844803,-1,0,,-0.0,1.0610522574585162,-0.0647040960091787
2019-03-13,1903.3599853515625,1914.239990234375,1879.0400390625,1895.6800537109375,1895.6800537109375,349311,2020.3199768066406,2096.1137533101473,1944.5262003031341,2171.9075298136536,1868.7324237996277,0,-1,,0.0249180402912077,1.0874916003609443,-0.0249180402912077
2019-03-14,1897.5999755859375,1901.0560302734375,1858.56005859375,1864.3199462890625,1864.3199462890625,308408,2007.3919799804687,2086.7393335128995,1928.044626448038,2166.08668704533,1848.6972729156073,0,-1,,0.0030262324573147037,1.0907826027390137,-0.0030262324573147037
2019-03-15,1856.0,1861.1199951171875,1805.43994140625,1829.760009765625,1829.760009765625,364855,1990.8159790039062,2070.947567062781,1910.684390945031,2151.0791551216566,1830.5528028861559,0,0,STP,-0.0,1.0907826027390137,-0.021922415746813195
2019-03-18,1843.8399658203125,1872.6400146484375,1818.239990234375,1834.239990234375,1834.239990234375,332277,1978.2399780273438,2062.326059221912,1894.1538968327752,2146.4121404164807,1810.0678156382069,0,0,,-0.0,1.0907826027390137,-0.0065517425537109375
2019-03-19,1802.239990234375,1875.8399658203125,1799.6800537109375,1846.4000244140625,1846.4000244140625,488056,1965.9519836425782,2050.470134240706,1881.4338330444505,2134.988284838834,1796.9156824463225,0,0,,-0.0,1.0907826027390137,-0.022561597729242155
2019-03-20,1851.52001953125,1888.6400146484375,1807.3599853515625,1866.239990234375,1866.239990234375,543556,1958.8479858398437,2045.560195720401,1872.1357759592863,2132.2724056009583,1785.423566078729,0,0,,0.0,1.0907826027390137,0.027343766403977288
2019-03-21,1893.760009765625,1893.760009765625,1820.927978515625,1841.9200439453125,1841.9200439453125,380027,1949.2159851074218,2037.755437026902,1860.6765331879417,2126.294888946382,1772.1370812684618,0,0,,0.0,1.0907826027390137,0.02281368269788886
2019-03-22,1879.6800537109375,2066.56005859375,1861.1199951171875,2053.1201171875,2053.1201171875,1100116,1953.9839904785156,2045.5245616332645,1862.4434193237666,2137.0651327880137,1770.9028481690175,1,0,,-0.0,1.0907826027390137,-0.007434920994255245
2019-03-25,2056.9599609375,2112.0,2012.1600341796875,2063.360107421875,2063.360107421875,698819,1957.5039978027344,2051.9302560911196,1863.077739514349,2146.356514379505,1768.6514812259636,0,1,,0.09431387372365285,1.1936585353936984,0.09431387372365285
