Date,Close,Signal,Position,Upper_Band1,Lower_Band1
2018-09-04,1873.9200439453125,0,0.0,,
2018-09-05,1885.43994140625,0,0.0,,
2018-09-06,1943.0400390625,0,0.0,,
2018-09-07,1971.8399658203125,0,0.0,,
2018-09-10,1918.719970703125,0,0.0,,
2018-09-11,1862.4000244140625,0,0.0,,
2018-09-12,1838.0799560546875,0,0.0,,
2018-09-13,1788.1600341796875,0,0.0,,
2018-09-14,1750.4000244140625,0,0.0,,
2018-09-17,1804.800048828125,0,0.0,,
2018-09-18,1795.199951171875,0,0.0,,
2018-09-19,1733.1199951171875,0,0.0,,
2018-09-20,1704.9599609375,0,0.0,,
2018-09-21,1700.2239990234375,0,0.0,,
2018-09-24,1706.8800048828125,0,0.0,,
2018-09-25,1722.8800048828125,0,0.0,,
2018-09-26,1728.0,0,0.0,,
2018-09-27,1711.3599853515625,0,0.0,,
2018-09-28,1708.800048828125,0,0.0,,
2018-10-01,1689.5999755859375,0,0.0,,
2018-10-02,1689.5999755859375,0,0.0,,
2018-10-03,1676.800048828125,0,0.0,,
2018-10-04,1779.199951171875,0,0.0,,
2018-10-05,1807.3599853515625,0,0.0,,
2018-10-08,1832.9599609375,0,0.0,,
2018-10-09,1861.1199951171875,0,0.0,,
2018-10-10,2172.800048828125,0,0.0,,
2018-10-11,2359.0400390625,0,0.0,,
2018-10-12,2180.47998046875,0,0.0,,
2018-10-15,2193.280029296875,0,0.0,,
2018-10-16,2053.1201171875,0,0.0,,
2018-10-17,2077.43994140625,0,0.0,,
2018-10-18,2230.39990234375,0,0.0,,
2018-10-19,2193.280029296875,0,0.0,,
2018-10-22,2213.1201171875,0,0.0,,
2018-10-23,2296.9599609375,0,0.0,,
2018-10-24,2474.239990234375,0,0.0,,
2018-10-25,2423.0400390625,0,0.0,,
2018-10-26,2559.360107421875,0,0.0,,
2018-10-29,2581.760009765625,0,0.0,,
2018-10-30,2483.840087890625,0,0.0,,
2018-10-31,2405.1201171875,0,0.0,,
2018-11-01,2327.679931640625,0,0.0,,
2018-11-02,2346.239990234375,0,0.0,,
2018-11-05,2323.840087890625,0,0.0,,
2018-11-06,2245.1201171875,0,0.0,,
2018-11-07,2089.60009765625,0,0.0,,
2018-11-08,2080.0,0,0.0,,
2018-11-09,2126.912109375,0,0.0,,
2018-11-12,2307.840087890625,0,0.0,,
2018-11-13,2325.1201171875,0,0.0,,
2018-11-14,2385.280029296875,0,0.0,,
2018-11-15,2360.320068359375,0,0.0,,
2018-11-16,2252.159912109375,0,0.0,,
2018-11-19,2384.0,0,0.0,,
2018-11-20,2517.1201171875,0,0.0,,
2018-11-21,2458.239990234375,0,0.0,,
2018-11-23,2479.360107421875,0,0.0,,
2018-11-26,2339.199951171875,0,0.0,,
2018-11-27,2297.60009765625,0,0.0,,
2018-11-28,2229.760009765625,0,0.0,,
2018-11-29,2270.080078125,0,0.0,,
2018-11-30,2206.080078125,0,0.0,,
2018-12-03,2086.39990234375,0,0.0,,
2018-12-04,2357.760009765625,0,0.0,,
2018-12-06,2418.56005859375,0,0.0,,
2018-12-07,2580.47998046875,0,0.0,,
2018-12-10,2555.52001953125,0,0.0,,
2018-12-11,2555.968017578125,0,0.0,,
2018-12-12,2535.679931640625,0,0.0,,
2018-12-13,2496.639892578125,0,0.0,,
2018-12-14,2598.39990234375,0,0.0,,
2018-12-17,2725.760009765625,0,0.0,,
2018-12-18,2738.56005859375,0,0.0,,
2018-12-19,2728.9599609375,0,0.0,,
2018-12-20,2867.840087890625,0,0.0,,
2018-12-21,3012.47998046875,0,0.0,,
2018-12-24,3163.52001953125,0,0.0,,
2018-12-26,2995.840087890625,0,0.0,,
2018-12-27,3122.56005859375,0,0.0,,
2018-12-28,3117.43994140625,0,0.0,,
2018-12-31,3007.360107421875,0,0.0,,
2019-01-02,2927.360107421875,0,0.0,,
2019-01-03,3048.9599609375,0,0.0,,
2019-01-04,2807.0400390625,0,0.0,,
2019-01-07,2744.320068359375,0,0.0,,
2019-01-08,2688.639892578125,0,0.0,,
2019-01-09,2625.280029296875,0,0.0,,
2019-01-10,2597.760009765625,0,0.0,,
2019-01-11,2513.280029296875,0,0.0,,
